signal_id,timestamp,pattern_name,direction,timeframe,status_at_signal,score,n_confluences,trade_type,entry_price,stop_loss,take_profit,risk_reward,spot_order_id,futures_order_id,position_size_usd,spot_sl_order_id,spot_tp_order_id,futures_sl_order_id,futures_tp_order_id,outcome,exit_price,pnl_usd,pnl_pct,closed_at,notes
NEXUS-20260614-1528,2026-06-14T15:28:50.573009+00:00,bear_flag,bearish,daily,FORMING,61,4,spot=True fut=False lev=1x,59093.99,65041.04,45798.2,2.24,PAPER-SPOT-NEXUS-20260614-1528,,99.37,,,,,OPEN,,,,,
NEXUS-20260614-1543,2026-06-14T15:43:13.530652+00:00,bear_flag,bearish,daily,FORMING,61,4,spot=True fut=False lev=1x,59093.99,65041.04,45798.2,2.24,PAPER-SPOT-NEXUS-20260614-1543,,99.37,,,,,OPEN,,,,,
